127.0.0.1 - - [09/May/2024:18:46:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/ HTTP/1.1" 200 11095
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/css/jquery.dataTables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/images/logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/images/vs1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/images/vs2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2024:18:46:56 +0900] "GET /pro01/images/vs3.png HTTP/1.1" 304 -
